                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                0.83927,                0.74249,                 1.2777,                0.86355,                0.82296,                0.89731,                0.68398,                0.92966,                0.94298,                 1.2954,               0.004654,               0.004654,               0.004654
                    111,                 0.8381,                0.73644,                  1.275,                0.86144,                0.82526,                0.89721,                0.68413,                0.92951,                0.94393,                 1.2953,              0.0046045,              0.0046045,              0.0046045
                    112,                 0.8448,                0.74087,                 1.2772,                0.86265,                0.82495,                0.89726,                0.68425,                0.92895,                0.94556,                 1.2946,               0.004555,               0.004555,               0.004555
                    113,                 0.8402,                0.74562,                 1.2747,                0.86034,                0.82533,                0.89721,                0.68461,                0.92858,                0.94428,                 1.2943,              0.0045055,              0.0045055,              0.0045055
                    114,                0.84263,                0.73514,                 1.2748,                0.85945,                0.82533,                0.89712,                0.68476,                0.92801,                0.94395,                 1.2938,               0.004456,               0.004456,               0.004456
                    115,                0.83557,                0.73016,                 1.2705,                 0.8622,                0.82399,                0.89708,                0.68475,                0.92764,                0.94296,                 1.2934,              0.0044065,              0.0044065,              0.0044065
                    116,                 0.8297,                0.72458,                 1.2686,                0.86479,                0.82153,                0.89743,                0.68517,                0.92718,                 0.9405,                 1.2933,               0.004357,               0.004357,               0.004357
                    117,                0.84136,                0.73166,                 1.2752,                0.86419,                 0.8235,                0.89774,                0.68499,                0.92726,                0.94008,                 1.2929,              0.0043075,              0.0043075,              0.0043075
                    118,                0.83025,                0.71905,                 1.2687,                 0.8631,                0.82592,                0.89791,                0.68542,                 0.9267,                0.93559,                 1.2921,               0.004258,               0.004258,               0.004258
                    119,                0.82977,                0.72358,                  1.266,                0.86482,                0.82438,                0.89778,                0.68542,                0.92612,                0.93333,                 1.2917,              0.0042085,              0.0042085,              0.0042085
                    120,                0.83018,                0.71922,                 1.2651,                0.86246,                0.82625,                0.89762,                0.68511,                0.92549,                 0.9309,                 1.2912,               0.004159,               0.004159,               0.004159
                    121,                0.82681,                0.71385,                 1.2631,                0.86407,                0.82539,                0.89772,                 0.6853,                0.92529,                0.92871,                  1.291,              0.0041095,              0.0041095,              0.0041095
                    122,                0.81917,                 0.7117,                 1.2566,                0.86294,                0.82708,                0.89794,                0.68529,                0.92452,                0.92983,                 1.2907,                0.00406,                0.00406,                0.00406
                    123,                0.82278,                0.71422,                 1.2629,                0.86532,                0.82739,                0.89847,                0.68541,                0.92431,                0.92717,                 1.2904,              0.0040105,              0.0040105,              0.0040105
                    124,                0.82178,                0.72133,                 1.2613,                0.86543,                0.82683,                0.89846,                0.68493,                0.92428,                0.92763,                   1.29,               0.003961,               0.003961,               0.003961
                    125,                0.81514,                0.70601,                 1.2565,                 0.8655,                0.82639,                0.89854,                0.68604,                0.92346,                 0.9254,                 1.2895,              0.0039115,              0.0039115,              0.0039115
                    126,                0.81871,                0.70936,                 1.2561,                0.86236,                0.83006,                0.89918,                0.68664,                0.92294,                0.92149,                 1.2888,               0.003862,               0.003862,               0.003862
                    127,                0.81554,                0.70476,                 1.2572,                0.86209,                0.83186,                0.89942,                0.68697,                0.92263,                0.91977,                 1.2886,              0.0038125,              0.0038125,              0.0038125
                    128,                0.81933,                0.70324,                 1.2593,                0.86481,                0.82998,                0.89945,                0.68728,                0.92202,                0.91703,                  1.288,               0.003763,               0.003763,               0.003763
                    129,                0.81285,                0.69734,                 1.2527,                0.86215,                0.83135,                0.89942,                0.68788,                0.92178,                0.91285,                 1.2878,              0.0037135,              0.0037135,              0.0037135
                    130,                0.81067,                0.69677,                 1.2552,                0.86288,                0.83086,                0.89961,                0.68816,                0.92152,                0.91083,                 1.2876,               0.003664,               0.003664,               0.003664
                    131,                0.81203,                0.69743,                 1.2563,                0.86257,                0.83068,                0.89945,                0.68813,                0.92125,                0.90731,                 1.2874,              0.0036145,              0.0036145,              0.0036145
                    132,                0.80116,                0.68616,                  1.244,                  0.863,                0.83122,                0.89967,                0.68835,                0.92123,                 0.9039,                 1.2871,               0.003565,               0.003565,               0.003565
                    133,                0.80556,                0.69122,                 1.2482,                0.86215,                0.83318,                0.89992,                 0.6886,                0.92113,                0.90198,                 1.2874,              0.0035155,              0.0035155,              0.0035155
                    134,                0.80433,                0.69052,                  1.249,                0.86481,                0.83463,                0.90053,                0.68918,                0.92086,                0.90038,                 1.2869,               0.003466,               0.003466,               0.003466
                    135,                 0.8054,                0.69743,                 1.2488,                0.86374,                 0.8348,                0.90044,                0.68934,                0.92065,                0.90149,                 1.2866,              0.0034165,              0.0034165,              0.0034165
                    136,                0.80052,                0.68028,                 1.2462,                0.86393,                0.83597,                0.90116,                0.68951,                0.92033,                0.89981,                 1.2864,               0.003367,               0.003367,               0.003367
                    137,                0.79849,                0.67593,                 1.2428,                0.86353,                 0.8358,                0.90111,                0.68993,                0.92008,                0.89734,                 1.2859,              0.0033175,              0.0033175,              0.0033175
                    138,                0.79283,                0.67994,                 1.2403,                0.86426,                0.83603,                0.90197,                0.69002,                0.91944,                0.89704,                 1.2854,               0.003268,               0.003268,               0.003268
                    139,                0.79183,                0.68228,                 1.2363,                0.86439,                0.83629,                0.90182,                0.69015,                 0.9192,                0.89574,                 1.2852,              0.0032185,              0.0032185,              0.0032185
                    140,                0.78708,                0.67479,                 1.2332,                 0.8663,                0.83662,                0.90216,                0.69132,                0.91889,                0.89405,                 1.2847,               0.003169,               0.003169,               0.003169
                    141,                0.79182,                0.66846,                 1.2358,                0.86731,                0.83786,                0.90232,                 0.6909,                0.91931,                0.89247,                 1.2851,              0.0031195,              0.0031195,              0.0031195
                    142,                 0.7875,                0.67048,                 1.2336,                0.86801,                0.83755,                0.90267,                 0.6916,                0.91885,                0.89062,                 1.2846,                0.00307,                0.00307,                0.00307
