                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.67776,                0.54238,                 1.1759,                 0.9048,                0.87445,                0.93597,                 0.7714,                0.76195,                0.55242,                 1.1875,              0.0057925,              0.0057925,              0.0057925
                     88,                0.66929,                 0.5309,                 1.1701,                 0.9064,                0.87272,                0.93633,                0.77273,                0.75963,                0.55201,                 1.1862,               0.005743,               0.005743,               0.005743
                     89,                0.67448,                0.52991,                 1.1729,                0.90682,                0.87516,                0.93621,                0.77302,                 0.7601,                0.55445,                 1.1872,              0.0056935,              0.0056935,              0.0056935
                     90,                0.66315,                0.52883,                 1.1619,                0.90442,                0.87802,                0.93677,                0.77352,                0.76079,                0.55481,                 1.1885,               0.005644,               0.005644,               0.005644
                     91,                0.66336,                0.52834,                 1.1668,                0.90544,                0.87897,                0.93669,                0.77241,                0.75982,                0.55303,                 1.1877,              0.0055945,              0.0055945,              0.0055945
                     92,                0.66248,                 0.5255,                 1.1659,                 0.9027,                0.88399,                0.93655,                0.77247,                0.75988,                0.55202,                  1.188,               0.005545,               0.005545,               0.005545
                     93,                 0.6554,                0.52363,                 1.1611,                0.90269,                0.88405,                0.93676,                0.77331,                0.75911,                0.55273,                 1.1872,              0.0054955,              0.0054955,              0.0054955
                     94,                0.64977,                0.51821,                 1.1575,                0.90513,                0.88521,                0.93684,                0.77352,                0.75869,                0.55574,                 1.1868,               0.005446,               0.005446,               0.005446
                     95,                0.65394,                0.51319,                 1.1561,                 0.9078,                0.88426,                0.93699,                0.77317,                0.75843,                0.55309,                 1.1863,              0.0053965,              0.0053965,              0.0053965
                     96,                0.65213,                 0.5125,                 1.1557,                0.91149,                0.88094,                0.93718,                0.77413,                0.75845,                0.55371,                 1.1866,               0.005347,               0.005347,               0.005347
                     97,                0.64654,                0.51108,                 1.1538,                0.91344,                0.87999,                0.93709,                0.77486,                0.75872,                0.55278,                 1.1872,              0.0052975,              0.0052975,              0.0052975
                     98,                  0.645,                0.50229,                 1.1534,                0.91441,                0.88037,                0.93709,                0.77632,                0.75797,                0.55297,                 1.1871,               0.005248,               0.005248,               0.005248
                     99,                0.63941,                   0.51,                 1.1492,                0.91842,                 0.8766,                 0.9374,                0.77622,                0.75721,                0.54896,                 1.1871,              0.0051985,              0.0051985,              0.0051985
                    100,                0.63911,                0.50104,                 1.1484,                 0.9188,                0.87616,                0.93715,                0.77702,                0.75645,                0.54902,                 1.1868,               0.005149,               0.005149,               0.005149
                    101,                0.63863,                0.50423,                 1.1495,                0.91877,                0.87652,                0.93745,                0.77716,                0.75606,                0.54494,                  1.187,              0.0050995,              0.0050995,              0.0050995
                    102,                0.62988,                0.49553,                 1.1413,                  0.918,                0.87761,                0.93748,                0.77743,                0.75517,                0.54399,                 1.1865,                0.00505,                0.00505,                0.00505
                    103,                 0.6261,                 0.4937,                 1.1386,                0.92215,                0.87565,                0.93782,                0.77784,                0.75472,                0.54268,                 1.1864,              0.0050005,              0.0050005,              0.0050005
                    104,                0.62049,                0.48573,                  1.134,                 0.9229,                 0.8747,                0.93791,                0.77814,                0.75353,                0.53996,                  1.186,               0.004951,               0.004951,               0.004951
                    105,                0.62483,                0.48272,                 1.1361,                0.92112,                0.87422,                  0.938,                0.77888,                0.75169,                0.53834,                 1.1847,              0.0049015,              0.0049015,              0.0049015
                    106,                0.62029,                0.48539,                 1.1338,                0.92516,                0.87383,                0.93849,                0.77928,                 0.7509,                 0.5359,                 1.1844,               0.004852,               0.004852,               0.004852
